Loan Type,Encoded Value
"Not Specified, Credit-Builder Loan, Personal Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",413
"Payday Loan, Student Loan, Debt Consolidation Loan, and Home Equity Loan",180
"Mortgage Loan, Not Specified, and Mortgage Loan",218
"Auto Loan, Student Loan, Mortgage Loan, Auto Loan, Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Mortgage Loan",358
"Home Equity Loan, Student Loan, Mortgage Loan, Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, and Debt Consolidation Loan",983
"Debt Consolidation Loan, Home Equity Loan, Personal Loan, Mortgage Loan, Payday Loan, Not Specified, and Auto Loan",951
"Payday Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, and Payday Loan",295
"Personal Loan, Credit-Builder Loan, Personal Loan, and Student Loan",248
"Not Specified, Credit-Builder Loan, Home Equity Loan, and Student Loan",263
"Mortgage Loan, Credit-Builder Loan, Home Equity Loan, Auto Loan, Mortgage Loan, Mortgage Loan, and Mortgage Loan",984
"Payday Loan, Not Specified, Debt Consolidation Loan, Mortgage Loan, and Mortgage Loan",775
"Payday Loan, Payday Loan, Payday Loan, Student Loan, Mortgage Loan, Payday Loan, and Personal Loan",941
"Student Loan, Personal Loan, Not Specified, Mortgage Loan, and Auto Loan",548
"Home Equity Loan, Home Equity Loan, Payday Loan, and Auto Loan",584
"Student Loan, Auto Loan, Mortgage Loan, Payday Loan, Home Equity Loan, and Credit-Builder Loan",204
"Home Equity Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Mortgage Loan",100
"Credit-Builder Loan, Auto Loan, and Mortgage Loan",753
"Credit-Builder Loan, Mortgage Loan, and Not Specified",310
"Not Specified, Debt Consolidation Loan, Student Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",989
"Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, Auto Loan, Student Loan, and Personal Loan",355
"Personal Loan, Payday Loan, and Not Specified",962
"Personal Loan, Credit-Builder Loan, Personal Loan, Not Specified, Payday Loan, and Payday Loan",799
"Credit-Builder Loan, Auto Loan, and Debt Consolidation Loan",276
"Debt Consolidation Loan, Payday Loan, Payday Loan, Home Equity Loan, Mortgage Loan, and Debt Consolidation Loan",695
"Auto Loan, Credit-Builder Loan, and Credit-Builder Loan",449
"Home Equity Loan, Not Specified, Credit-Builder Loan, Auto Loan, Student Loan, and Mortgage Loan",382
"Mortgage Loan, Mortgage Loan, Student Loan, Not Specified, Debt Consolidation Loan, and Debt Consolidation Loan",741
"Personal Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, and Home Equity Loan",292
"Home Equity Loan, Mortgage Loan, Payday Loan, and Mortgage Loan",381
"Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Home Equity Loan, Mortgage Loan, and Student Loan",639
"Not Specified, Payday Loan, Auto Loan, Mortgage Loan, and Mortgage Loan",871
"Mortgage Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Mortgage Loan, Home Equity Loan, Auto Loan, and Not Specified",168
"Personal Loan, Credit-Builder Loan, Auto Loan, and Mortgage Loan",227
"Personal Loan, Debt Consolidation Loan, and Home Equity Loan",548
"Auto Loan, Credit-Builder Loan, Not Specified, and Not Specified",587
"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, Home Equity Loan, Mortgage Loan, and Debt Consolidation Loan",235
"Auto Loan, Home Equity Loan, and Auto Loan",213
"Not Specified, Student Loan, Not Specified, Personal Loan, and Auto Loan",580
"Student Loan, Auto Loan, Debt Consolidation Loan, and Home Equity Loan",290
"Credit-Builder Loan, Auto Loan, Auto Loan, Student Loan, Auto Loan, Debt Consolidation Loan, Home Equity Loan, and Student Loan",360
"Mortgage Loan, Not Specified, and Student Loan",808
"Home Equity Loan, Mortgage Loan, Personal Loan, Not Specified, Home Equity Loan, and Home Equity Loan",492
"Not Specified, Not Specified, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",192
"Personal Loan, Mortgage Loan, Home Equity Loan, and Payday Loan",465
"Home Equity Loan, Auto Loan, Student Loan, Auto Loan, and Student Loan",835
"Debt Consolidation Loan, Student Loan, Auto Loan, and Payday Loan",475
"Mortgage Loan, Not Specified, and Not Specified",329
"Mortgage Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",901
"Student Loan, Personal Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",517
"Personal Loan, Mortgage Loan, Mortgage Loan, Not Specified, Payday Loan, and Not Specified",970
"Home Equity Loan, Credit-Builder Loan, Auto Loan, Not Specified, Payday Loan, and Mortgage Loan",372
"Mortgage Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, Payday Loan, Home Equity Loan, and Home Equity Loan",373
"Mortgage Loan, Credit-Builder Loan, Not Specified, and Home Equity Loan",922
"Personal Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, Personal Loan, Personal Loan, and Home Equity Loan",926
"Credit-Builder Loan, Home Equity Loan, Not Specified, Mortgage Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",685
"Payday Loan, Debt Consolidation Loan, and Student Loan",134
"Home Equity Loan, Home Equity Loan, Personal Loan, Personal Loan, Student Loan, Mortgage Loan, Student Loan, and Mortgage Loan",561
"Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, and Mortgage Loan",800
"Personal Loan, Auto Loan, Not Specified, and Student Loan",341
"Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, Student Loan, Credit-Builder Loan, and Home Equity Loan",564
"Mortgage Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Not Specified, Mortgage Loan, and Not Specified",249
"Auto Loan, Payday Loan, and Payday Loan",566
"Home Equity Loan, Auto Loan, and Auto Loan",174
"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, and Credit-Builder Loan",325
"Credit-Builder Loan, Personal Loan, Not Specified, Personal Loan, and Mortgage Loan",668
"Payday Loan, Mortgage Loan, Home Equity Loan, and Debt Consolidation Loan",620
"Credit-Builder Loan, Not Specified, and Auto Loan",857
"Credit-Builder Loan, Student Loan, Student Loan, and Home Equity Loan",256
"Auto Loan, Personal Loan, Student Loan, Auto Loan, Personal Loan, and Not Specified",889
"Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Auto Loan, and Student Loan",240
"Debt Consolidation Loan, Auto Loan, Student Loan, Mortgage Loan, Not Specified, Credit-Builder Loan, and Not Specified",106
"Mortgage Loan, Mortgage Loan, Payday Loan, and Personal Loan",417
"Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",257
"Student Loan, Personal Loan, Payday Loan, and Payday Loan",979
"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Personal Loan, Student Loan, Personal Loan, and Home Equity Loan",536
"Not Specified, Personal Loan, Home Equity Loan, and Auto Loan",155
"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",296
"Credit-Builder Loan, Home Equity Loan, and Student Loan",765
"Student Loan, Student Loan, Student Loan, and Auto Loan",297
"Payday Loan, Student Loan, Home Equity Loan, and Payday Loan",264
"Home Equity Loan, Payday Loan, Student Loan, Student Loan, Student Loan, Personal Loan, Student Loan, Payday Loan, and Auto Loan",864
"Payday Loan, Payday Loan, and Student Loan",546
"Personal Loan, Auto Loan, Student Loan, and Auto Loan",121
"Not Specified, Not Specified, Auto Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Personal Loan, Mortgage Loan, and Personal Loan",257
"Student Loan, Credit-Builder Loan, Home Equity Loan, and Payday Loan",397
"Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, Student Loan, Payday Loan, Mortgage Loan, and Mortgage Loan",220
"Mortgage Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, and Not Specified",292
"Home Equity Loan, Not Specified, Not Specified, Not Specified, and Student Loan",131
"Home Equity Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Home Equity Loan, Personal Loan, Personal Loan, and Debt Consolidation Loan",219
"Auto Loan, Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, and Home Equity Loan",487
"Auto Loan, Not Specified, Credit-Builder Loan, and Auto Loan",789
"Student Loan, Not Specified, and Home Equity Loan",809
"Auto Loan, Credit-Builder Loan, and Personal Loan",563
"Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",878
"Home Equity Loan, Student Loan, Personal Loan, and Home Equity Loan",907
"Personal Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",347
"Debt Consolidation Loan, Mortgage Loan, Student Loan, and Not Specified",577
"Personal Loan, Personal Loan, Student Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",744
"Student Loan, Payday Loan, Home Equity Loan, Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, and Payday Loan",649
"Debt Consolidation Loan, Personal Loan, Personal Loan, and Credit-Builder Loan",547
"Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",265
"Mortgage Loan, Student Loan, Personal Loan, and Credit-Builder Loan",831
"Not Specified, Personal Loan, Auto Loan, Auto Loan, Debt Consolidation Loan, and Payday Loan",612
"Home Equity Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, Personal Loan, and Personal Loan",791
"Credit-Builder Loan, Student Loan, Home Equity Loan, and Home Equity Loan",100
"Home Equity Loan, Debt Consolidation Loan, Student Loan, Credit-Builder Loan, Personal Loan, Student Loan, Debt Consolidation Loan, and Payday Loan",583
"Student Loan, Credit-Builder Loan, and Mortgage Loan",322
"Home Equity Loan, Personal Loan, Personal Loan, and Not Specified",823
"Payday Loan, Not Specified, Home Equity Loan, and Personal Loan",428
"Not Specified, Not Specified, Student Loan, and Auto Loan",814
"Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Auto Loan, Payday Loan, Auto Loan, and Payday Loan",338
"Personal Loan, Student Loan, Mortgage Loan, Auto Loan, Student Loan, and Payday Loan",827
"Student Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",999
"Personal Loan, Student Loan, and Mortgage Loan",815
"Personal Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",996
"Student Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",937
"Debt Consolidation Loan, Payday Loan, Auto Loan, Mortgage Loan, and Not Specified",865
"Credit-Builder Loan, Personal Loan, Student Loan, and Credit-Builder Loan",364
"Payday Loan, Home Equity Loan, Auto Loan, Mortgage Loan, and Credit-Builder Loan",722
"Student Loan, Payday Loan, Auto Loan, and Home Equity Loan",349
"Not Specified, Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",459
"Payday Loan, Home Equity Loan, Credit-Builder Loan, Home Equity Loan, and Personal Loan",743
"Home Equity Loan, Student Loan, and Personal Loan",527
"Auto Loan, Auto Loan, Student Loan, and Mortgage Loan",373
"Home Equity Loan, Credit-Builder Loan, Not Specified, and Home Equity Loan",113
"Personal Loan, Payday Loan, Personal Loan, and Not Specified",455
"Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan",711
"Student Loan, Mortgage Loan, Debt Consolidation Loan, Payday Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Payday Loan",807
"Home Equity Loan, Personal Loan, Auto Loan, and Mortgage Loan",577
"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, Not Specified, and Student Loan",747
"Debt Consolidation Loan, Payday Loan, Not Specified, Home Equity Loan, Home Equity Loan, Payday Loan, Payday Loan, and Not Specified",557
"Personal Loan, Student Loan, Credit-Builder Loan, and Auto Loan",612
"Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Personal Loan",345
"Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, and Debt Consolidation Loan",615
"Debt Consolidation Loan, Auto Loan, Mortgage Loan, Debt Consolidation Loan, and Debt Consolidation Loan",662
"Home Equity Loan, Not Specified, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Not Specified, Auto Loan, and Personal Loan",994
"Student Loan, Credit-Builder Loan, Personal Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",667
"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Payday Loan",557
"Mortgage Loan, Mortgage Loan, Personal Loan, Auto Loan, Home Equity Loan, and Not Specified",958
"Mortgage Loan, Personal Loan, Student Loan, Not Specified, Student Loan, and Auto Loan",678
"Personal Loan, Home Equity Loan, Mortgage Loan, Payday Loan, Payday Loan, Home Equity Loan, Auto Loan, Auto Loan, and Student Loan",423
"Auto Loan, Auto Loan, and Auto Loan",636
"Credit-Builder Loan, Student Loan, and Payday Loan",550
"Auto Loan, Personal Loan, and Not Specified",710
"Payday Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, and Student Loan",217
"Student Loan, Not Specified, Auto Loan, and Student Loan",794
"Mortgage Loan, Auto Loan, Credit-Builder Loan, and Home Equity Loan",375
"Credit-Builder Loan, Personal Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan",864
"Mortgage Loan, Credit-Builder Loan, Payday Loan, Not Specified, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Student Loan, and Mortgage Loan",566
"Not Specified, Credit-Builder Loan, Student Loan, Not Specified, Not Specified, Auto Loan, Auto Loan, Payday Loan, and Payday Loan",275
"Credit-Builder Loan, Student Loan, Auto Loan, and Credit-Builder Loan",459
"Auto Loan, Mortgage Loan, Auto Loan, Mortgage Loan, Mortgage Loan, Auto Loan, and Not Specified",986
"Mortgage Loan, Personal Loan, Student Loan, Payday Loan, Payday Loan, Debt Consolidation Loan, and Payday Loan",825
"Not Specified, Not Specified, Mortgage Loan, Payday Loan, and Personal Loan",283
"Payday Loan, Mortgage Loan, Auto Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",379
"Debt Consolidation Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, and Payday Loan",334
"Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",320
"Student Loan, Home Equity Loan, Not Specified, and Payday Loan",858
"Credit-Builder Loan, Student Loan, and Debt Consolidation Loan",284
"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Payday Loan, and Personal Loan",527
"Credit-Builder Loan, Home Equity Loan, Mortgage Loan, and Student Loan",465
"Not Specified, Home Equity Loan, Personal Loan, and Auto Loan",837
"Not Specified, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Auto Loan",411
"Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Debt Consolidation Loan, and Debt Consolidation Loan",579
"Personal Loan, Student Loan, Mortgage Loan, Student Loan, Not Specified, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",982
"Personal Loan, Student Loan, Credit-Builder Loan, and Student Loan",137
"Not Specified, Debt Consolidation Loan, and Mortgage Loan",638
"Auto Loan, Debt Consolidation Loan, and Personal Loan",219
"Debt Consolidation Loan, Not Specified, and Not Specified",962
"Debt Consolidation Loan, Auto Loan, and Mortgage Loan",223
"Debt Consolidation Loan, Student Loan, Personal Loan, and Auto Loan",556
"Credit-Builder Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, and Mortgage Loan",729
"Student Loan, Student Loan, Debt Consolidation Loan, and Not Specified",867
"Payday Loan, Student Loan, Mortgage Loan, Home Equity Loan, Student Loan, Payday Loan, and Debt Consolidation Loan",875
"Not Specified, Personal Loan, Student Loan, Mortgage Loan, Student Loan, Payday Loan, and Home Equity Loan",213
"Credit-Builder Loan, Not Specified, and Mortgage Loan",289
"Mortgage Loan, Auto Loan, Mortgage Loan, Not Specified, Home Equity Loan, Mortgage Loan, and Mortgage Loan",633
"Student Loan, Personal Loan, Personal Loan, Payday Loan, Payday Loan, Home Equity Loan, Payday Loan, and Payday Loan",725
"Payday Loan, Personal Loan, Mortgage Loan, and Student Loan",398
"Payday Loan, Auto Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, and Credit-Builder Loan",577
"Auto Loan, Mortgage Loan, Debt Consolidation Loan, Personal Loan, and Auto Loan",619
"Personal Loan, Personal Loan, Home Equity Loan, Mortgage Loan, Payday Loan, and Student Loan",853
"Mortgage Loan, Auto Loan, Payday Loan, and Not Specified",429
"Payday Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",874
"Payday Loan, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",441
"Personal Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, and Mortgage Loan",995
"Student Loan, Personal Loan, and Payday Loan",104
